Order ID,Order Date,Year,Month,Day,Customer Name,Region,City,Category,Sub-Category,Product Name,Quantity,Unit  Price,Total Sales,Profit %,Profit Amount,Payment Mode
13128,02-01-2024,2024,1,2,Dhanush Dhingra,East,Patna,Beauty,Foundation,Foundation Blanditiis,2,7908,15816,10%,1581.6,Net Banking
13263,02-01-2024,2024,1,2,Aarav Loke,South,Hyderabad,Clothing,Accessories,Accessories Eius,4,7987,31948,20%,6389.6,Net Banking
14830,02-01-2024,2024,1,2,Urvi Kaul,North,Delhi,Home Decor,Clock,Clock Officiis,3,8111,24333,15%,3649.95,Net Banking
10299,03-01-2024,2024,1,3,Lagan Kala,South,Thiruvananthapuram,Books,Textbook,Textbook Alias,1,9511,9511,5%,475.55,Net Banking
10566,03-01-2024,2024,1,3,Armaan Kara,South,Hyderabad,Home Decor,Vase,Vase Modi,4,8637,34548,20%,6909.6,Credit Card
11475,03-01-2024,2024,1,3,Ishita Trivedi,North,Delhi,Beauty,Shampoo,Shampoo Ullam,2,9846,19692,10%,1969.2,UPI
13496,03-01-2024,2024,1,3,Fateh Karan,West,Mumbai,Kitchen,Cookware Set,Cookware Set Eveniet,3,8121,24363,15%,3654.45,Debit Card
10488,04-01-2024,2024,1,4,Ritvik Dara,East,Kolkata,Home Decor,Lamp,Lamp At,1,8516,8516,5%,425.8,COD
10991,04-01-2024,2024,1,4,Aarush Bahl,East,Bhubaneswar,Books,Fiction,Fiction Laborum,4,9620,38480,20%,7696,Debit Card
11909,04-01-2024,2024,1,4,Ira Ray,North,Jaipur,Toys,Doll,Doll Debitis,3,9048,27144,15%,4071.6,Net Banking
12306,04-01-2024,2024,1,4,Shaan Korpal,East,Patna,Furniture,Cabinet,Cabinet Consequatur,5,7794,38970,20%,7794,UPI
13561,04-01-2024,2024,1,4,Ahana  Choudhury,West,Goa,Furniture,Chair,Chair Adipisci,1,8395,8395,5%,419.75,UPI
14207,04-01-2024,2024,1,4,Darshit Chaudhry,East,Guwahati,Home Decor,Cushion,Cushion Cumque,3,5806,17418,10%,1741.8,Credit Card
14253,04-01-2024,2024,1,4,Piya Ganesan,South,Coimbatore,Electronics,Laptop,Laptop Consectetur,3,8765,26295,15%,3944.25,Net Banking
14572,04-01-2024,2024,1,4,Ojas Uppal,South,Hyderabad,Kitchen,Microwave,Microwave Architecto,1,8530,8530,5%,426.5,UPI
14621,04-01-2024,2024,1,4,Onkar Borah,South,Thiruvananthapuram,Home Decor,Cushion,Cushion Voluptates,1,9784,9784,5%,489.2,UPI
14781,04-01-2024,2024,1,4,Faiyaz Sarraf,South,Chennai,Toys,Doll,Doll Enim,4,8208,32832,20%,6566.4,COD
14855,04-01-2024,2024,1,4,Aarush Trivedi,West,Goa,Furniture,Table,Table Molestiae,2,9722,19444,10%,1944.4,Debit Card
10494,05-01-2024,2024,1,5,Vidur Bahl,West,Pune,Sports,Yoga Mat,Yoga Mat Et,1,8886,8886,5%,444.3,UPI
10901,05-01-2024,2024,1,5,Mohanlal Deshmukh,South,Thiruvananthapuram,Books,Comics,Comics Dolor,4,8541,34164,20%,6832.8,Credit Card
11526,05-01-2024,2024,1,5,Yakshit Dara,North,Delhi,Kitchen,Cookware Set,Cookware Set Possimus,2,1544,3088,5%,154.4,Debit Card
12029,05-01-2024,2024,1,5,Raunak Kar,South,Thiruvananthapuram,Beauty,Face Cream,Face Cream Esse,1,9913,9913,5%,495.65,Credit Card
12908,05-01-2024,2024,1,5,Misha Shan,West,Pune,Books,Textbook,Textbook Delectus,1,7683,7683,5%,384.15,Credit Card
13104,05-01-2024,2024,1,5,Nitya Saini,East,Bhubaneswar,Groceries,Sugar,Sugar Excepturi,1,7018,7018,5%,350.9,Net Banking
13273,05-01-2024,2024,1,5,Darshit Agrawal,South,Hyderabad,Beauty,Foundation,Foundation Esse,4,2322,9288,5%,464.4,Net Banking
13991,05-01-2024,2024,1,5,Kimaya Gera,West,Surat,Books,Biography,Biography Sint,1,8097,8097,5%,404.85,Debit Card
14161,05-01-2024,2024,1,5,Reyansh Agrawal,South,Thiruvananthapuram,Furniture,Table,Table Nihil,2,7737,15474,10%,1547.4,UPI
14751,05-01-2024,2024,1,5,Kiaan Aggarwal,South,Coimbatore,Furniture,Chair,Chair Blanditiis,1,9089,9089,5%,454.45,UPI
14804,05-01-2024,2024,1,5,Anay Divan,West,Ahmedabad,Books,Textbook,Textbook Dicta,3,7023,21069,15%,3160.35,Credit Card
10591,06-01-2024,2024,1,6,Pari Mane,South,Hyderabad,Clothing,Women's Wear,Women's Wear Enim,3,9546,28638,15%,4295.7,UPI
10624,06-01-2024,2024,1,6,Aarna Khare,North,Jaipur,Groceries,Spices,Spices Dolor,1,8418,8418,5%,420.9,Credit Card
10974,06-01-2024,2024,1,6,Taran Chahal,West,Pune,Home Decor,Wall Art,Wall Art Dolores,2,7593,15186,10%,1518.6,COD
10981,06-01-2024,2024,1,6,Ryan Mand,West,Ahmedabad,Sports,Tennis Racket,Tennis Racket Omnis,3,3541,10623,10%,1062.3,COD
13270,06-01-2024,2024,1,6,Aaryahi Kari,South,Bangalore,Books,Comics,Comics Praesentium,4,7270,29080,15%,4362,Credit Card
13701,06-01-2024,2024,1,6,Saanvi Bala,North,Chandigarh,Beauty,Face Cream,Face Cream Quisquam,3,8834,26502,15%,3975.3,COD
14750,06-01-2024,2024,1,6,Jiya Zacharia,East,Kolkata,Books,Fiction,Fiction Hic,5,8896,44480,20%,8896,Credit Card
11188,07-01-2024,2024,1,7,Amani Sabharwal,North,Amritsar,Books,Non-Fiction,Non-Fiction Ipsum,5,9326,46630,20%,9326,Debit Card
12256,07-01-2024,2024,1,7,Sumer Sanghvi,North,Jaipur,Beauty,Shampoo,Shampoo Aperiam,4,7976,31904,20%,6380.8,Debit Card
12434,07-01-2024,2024,1,7,Purab Chadha,North,Lucknow,Groceries,Sugar,Sugar Qui,1,9568,9568,5%,478.4,UPI
12591,07-01-2024,2024,1,7,Indranil Kar,West,Ahmedabad,Furniture,Table,Table Fuga,3,9502,28506,15%,4275.9,UPI
13460,07-01-2024,2024,1,7,Kartik Mani,East,Bhubaneswar,Clothing,Women's Wear,Women's Wear Aperiam,1,9635,9635,5%,481.75,Credit Card
13694,07-01-2024,2024,1,7,Purab Suri,South,Coimbatore,Sports,Football,Football Nulla,2,7813,15626,10%,1562.6,Credit Card
13760,07-01-2024,2024,1,7,Nayantara Tata,West,Mumbai,Clothing,Accessories,Accessories Quam,4,9781,39124,20%,7824.8,UPI
14308,07-01-2024,2024,1,7,Sana Dua,East,Bhubaneswar,Beauty,Face Cream,Face Cream Molestias,4,7139,28556,15%,4283.4,Net Banking
14628,07-01-2024,2024,1,7,Uthkarsh Bail,South,Bangalore,Beauty,Face Cream,Face Cream Porro,5,8753,43765,20%,8753,Debit Card
11853,08-01-2024,2024,1,8,Trisha Gandhi,North,Jaipur,Home Decor,Clock,Clock Fuga,4,7230,28920,15%,4338,Net Banking
11856,08-01-2024,2024,1,8,Aarush Gupta,North,Amritsar,Beauty,Perfume,Perfume Eligendi,4,9123,36492,20%,7298.4,UPI
11938,08-01-2024,2024,1,8,Kismat Tara,South,Chennai,Sports,Yoga Mat,Yoga Mat Totam,2,7981,15962,10%,1596.2,COD
13375,08-01-2024,2024,1,8,Tanya Sabharwal,North,Jaipur,Books,Fiction,Fiction Iusto,2,7497,14994,10%,1499.4,Debit Card
14347,08-01-2024,2024,1,8,Himmat Choudhary,West,Surat,Clothing,Accessories,Accessories Dolorem,1,9583,9583,5%,479.15,UPI
14786,08-01-2024,2024,1,8,Lakshay Tara,North,Amritsar,Home Decor,Wall Art,Wall Art Culpa,1,7363,7363,5%,368.15,COD
10423,09-01-2024,2024,1,9,Hazel Chakrabarti,South,Bangalore,Home Decor,Clock,Clock Provident,4,9121,36484,20%,7296.8,COD
11626,09-01-2024,2024,1,9,Dharmajan Bhandari,West,Ahmedabad,Sports,Cricket Bat,Cricket Bat Earum,2,7967,15934,10%,1593.4,Credit Card
14973,09-01-2024,2024,1,9,Manikya Mann,West,Goa,Toys,Doll,Doll Eum,5,7389,36945,20%,7389,Credit Card
11728,10-01-2024,2024,1,10,Mannat Dugar,North,Lucknow,Home Decor,Clock,Clock Enim,5,2442,12210,10%,1221,Debit Card
12127,10-01-2024,2024,1,10,Bhamini Doshi,North,Delhi,Beauty,Shampoo,Shampoo Vero,4,9748,38992,20%,7798.4,Debit Card
13504,10-01-2024,2024,1,10,Anaya Khatri,East,Kolkata,Beauty,Face Cream,Face Cream Quos,1,8424,8424,5%,421.2,Credit Card
13780,10-01-2024,2024,1,10,Sara Keer,North,Jaipur,Sports,Cricket Bat,Cricket Bat Doloremque,5,9169,45845,20%,9169,Net Banking
14310,10-01-2024,2024,1,10,Uthkarsh Shetty,East,Ranchi,Home Decor,Lamp,Lamp Ipsum,3,7752,23256,15%,3488.4,COD
10020,11-01-2024,2024,1,11,Gatik Ravi,West,Pune,Books,Textbook,Textbook Inventore,5,9639,48195,20%,9639,Debit Card
10214,11-01-2024,2024,1,11,Samarth Sibal,South,Chennai,Groceries,Oil,Oil Sunt,3,9579,28737,15%,4310.55,COD
12782,11-01-2024,2024,1,11,Mishti Bala,East,Patna,Kitchen,Microwave,Microwave Provident,5,9472,47360,20%,9472,UPI
14075,11-01-2024,2024,1,11,Jayesh Ratti,West,Goa,Groceries,Spices,Spices Officia,3,9807,29421,15%,4413.15,Credit Card
14815,11-01-2024,2024,1,11,Kiaan Magar,East,Guwahati,Beauty,Face Cream,Face Cream Aliquid,3,1227,3681,5%,184.05,Net Banking
14990,11-01-2024,2024,1,11,Alisha Lalla,North,Lucknow,Books,Fiction,Fiction Eveniet,1,8148,8148,5%,407.4,COD
10095,12-01-2024,2024,1,12,Kiaan Ranganathan,East,Patna,Electronics,Camera,Camera Temporibus,2,8415,16830,10%,1683,UPI
11671,12-01-2024,2024,1,12,Prisha Kala,East,Guwahati,Sports,Football,Football Quia,3,9869,29607,15%,4441.05,Net Banking
11797,12-01-2024,2024,1,12,Aarna Shah,East,Kolkata,Electronics,Headphones,Headphones At,1,7570,7570,5%,378.5,COD
11799,12-01-2024,2024,1,12,Rati Kapadia,East,Patna,Clothing,Men's Wear,Men's Wear Quis,2,7292,14584,10%,1458.4,Credit Card
13134,12-01-2024,2024,1,12,Kartik Sagar,West,Ahmedabad,Sports,Cricket Bat,Cricket Bat Eos,5,8405,42025,20%,8405,Debit Card
13487,12-01-2024,2024,1,12,Mannat Ram,South,Hyderabad,Groceries,Spices,Spices Sequi,2,8684,17368,10%,1736.8,Credit Card
14543,12-01-2024,2024,1,12,Yashvi Brahmbhatt,West,Surat,Books,Biography,Biography Ex,1,8905,8905,5%,445.25,UPI
14754,12-01-2024,2024,1,12,Indrajit Solanki,East,Patna,Sports,Football,Football Eum,2,9800,19600,10%,1960,UPI
10026,13-01-2024,2024,1,13,Dhanush Vaidya,South,Chennai,Groceries,Rice,Rice Impedit,2,8937,17874,10%,1787.4,UPI
10666,13-01-2024,2024,1,13,Ojas Bhalla,North,Chandigarh,Books,Fiction,Fiction Blanditiis,3,9286,27858,15%,4178.7,UPI
10791,13-01-2024,2024,1,13,Eva Lalla,North,Amritsar,Beauty,Lipstick,Lipstick Deserunt,1,7508,7508,5%,375.4,COD
11223,13-01-2024,2024,1,13,Jiya Mammen,North,Delhi,Furniture,Bed,Bed Culpa,1,7827,7827,5%,391.35,COD
14383,13-01-2024,2024,1,13,Damini Rout,East,Ranchi,Books,Non-Fiction,Non-Fiction Doloribus,2,8657,17314,10%,1731.4,COD
14424,13-01-2024,2024,1,13,Divit Swaminathan,East,Patna,Books,Textbook,Textbook Beatae,2,9090,18180,10%,1818,Net Banking
10148,14-01-2024,2024,1,14,Shaan Sehgal,North,Delhi,Kitchen,Mixer Grinder,Mixer Grinder Porro,1,8803,8803,5%,440.15,UPI
10359,14-01-2024,2024,1,14,Riaan Sura,East,Kolkata,Kitchen,Cookware Set,Cookware Set Incidunt,1,8002,8002,5%,400.1,Net Banking
11122,14-01-2024,2024,1,14,Ayesha Jain,East,Bhubaneswar,Toys,RC Car,RC Car Omnis,4,9134,36536,20%,7307.2,Debit Card
12060,14-01-2024,2024,1,14,Nitya Kale,East,Kolkata,Electronics,Headphones,Headphones Illo,1,7129,7129,5%,356.45,Net Banking
12364,14-01-2024,2024,1,14,Yashvi Chandran,North,Jaipur,Furniture,Cabinet,Cabinet Minima,3,7458,22374,15%,3356.1,Credit Card
13946,14-01-2024,2024,1,14,Mannat Iyer,West,Mumbai,Electronics,Camera,Camera Quae,2,8891,17782,10%,1778.2,Credit Card
13976,14-01-2024,2024,1,14,Piya Magar,South,Thiruvananthapuram,Electronics,Smartwatch,Smartwatch Voluptatibus,1,7337,7337,5%,366.85,Credit Card
14087,14-01-2024,2024,1,14,Ira Lad,West,Goa,Toys,Puzzle,Puzzle Molestiae,2,8138,16276,10%,1627.6,Credit Card
10955,15-01-2024,2024,1,15,Lavanya Ahuja,West,Pune,Clothing,Kids Wear,Kids Wear Velit,5,3019,15095,10%,1509.5,Debit Card
11430,15-01-2024,2024,1,15,Nayantara Sandhu,East,Ranchi,Groceries,Sugar,Sugar Inventore,5,8192,40960,20%,8192,Net Banking
12471,15-01-2024,2024,1,15,Ishaan Manne,North,Chandigarh,Kitchen,Microwave,Microwave Ipsum,4,8835,35340,20%,7068,Credit Card
12510,15-01-2024,2024,1,15,Anvi Behl,North,Lucknow,Furniture,Sofa,Sofa Sunt,5,7670,38350,20%,7670,Credit Card
13035,15-01-2024,2024,1,15,Divyansh Varma,East,Guwahati,Home Decor,Wall Art,Wall Art Et,2,468,936,5%,46.8,COD
13520,15-01-2024,2024,1,15,Ranbir Upadhyay,South,Coimbatore,Kitchen,Mixer Grinder,Mixer Grinder Deleniti,1,8575,8575,5%,428.75,Debit Card
13960,15-01-2024,2024,1,15,Jhanvi Bal,West,Ahmedabad,Toys,Puzzle,Puzzle Sapiente,2,5233,10466,10%,1046.6,Net Banking
12989,16-01-2024,2024,1,16,Nehmat Dugal,East,Patna,Clothing,Shoes,Shoes Possimus,4,7555,30220,20%,6044,Net Banking
13062,16-01-2024,2024,1,16,Samarth Gera,West,Mumbai,Kitchen,Mixer Grinder,Mixer Grinder Enim,4,5442,21768,15%,3265.2,Net Banking
13557,16-01-2024,2024,1,16,Anahita Bala,West,Goa,Beauty,Foundation,Foundation Aperiam,3,9736,29208,15%,4381.2,Credit Card
14450,16-01-2024,2024,1,16,Miraya Amble,North,Jaipur,Clothing,Accessories,Accessories Pariatur,1,9116,9116,5%,455.8,Debit Card
14594,16-01-2024,2024,1,16,Tarini Bandi,West,Goa,Furniture,Chair,Chair Unde,4,8543,34172,20%,6834.4,Debit Card
11395,17-01-2024,2024,1,17,Elakshi Koshy,East,Bhubaneswar,Groceries,Sugar,Sugar Quis,2,8537,17074,10%,1707.4,COD
11992,17-01-2024,2024,1,17,Alisha Mann,East,Patna,Clothing,Kids Wear,Kids Wear Vitae,4,7063,28252,15%,4237.8,UPI
12366,17-01-2024,2024,1,17,Vivaan Bassi,South,Thiruvananthapuram,Furniture,Cabinet,Cabinet Voluptate,4,9048,36192,20%,7238.4,Net Banking
13473,17-01-2024,2024,1,17,Pihu Sengupta,North,Chandigarh,Sports,Tennis Racket,Tennis Racket Culpa,2,7923,15846,10%,1584.6,Net Banking
13673,17-01-2024,2024,1,17,Trisha Golla,South,Hyderabad,Beauty,Shampoo,Shampoo Odio,5,7863,39315,20%,7863,COD
13838,17-01-2024,2024,1,17,Myra Bawa,East,Patna,Kitchen,Refrigerator,Refrigerator Totam,1,8252,8252,5%,412.6,Credit Card
13972,17-01-2024,2024,1,17,Uthkarsh Viswanathan,North,Delhi,Furniture,Bed,Bed Autem,5,8588,42940,20%,8588,Credit Card
13988,17-01-2024,2024,1,17,Neelofar Dhawan,East,Patna,Sports,Tennis Racket,Tennis Racket Ex,4,7997,31988,20%,6397.6,UPI
14956,17-01-2024,2024,1,17,Vidur Din,East,Guwahati,Toys,Board Game,Board Game Impedit,2,9551,19102,10%,1910.2,UPI
10677,18-01-2024,2024,1,18,Yasmin Johal,West,Ahmedabad,Books,Biography,Biography Quaerat,1,9356,9356,5%,467.8,Credit Card
10806,18-01-2024,2024,1,18,Dhruv Arya,South,Hyderabad,Home Decor,Lamp,Lamp Non,3,7797,23391,15%,3508.65,Debit Card
11517,18-01-2024,2024,1,18,Kavya Sastry,South,Coimbatore,Books,Textbook,Textbook Quia,4,8436,33744,20%,6748.8,Net Banking
12947,18-01-2024,2024,1,18,Diya Sura,East,Ranchi,Home Decor,Cushion,Cushion Totam,2,9334,18668,10%,1866.8,Debit Card
13467,18-01-2024,2024,1,18,Shamik Kumar,West,Ahmedabad,Sports,Football,Football Officiis,1,9315,9315,5%,465.75,Net Banking
13533,18-01-2024,2024,1,18,Adira Dubey,South,Bangalore,Home Decor,Wall Art,Wall Art Perferendis,4,7332,29328,15%,4399.2,COD
12599,19-01-2024,2024,1,19,Alisha Chakrabarti,South,Chennai,Books,Textbook,Textbook Optio,3,804,2412,5%,120.6,UPI
12621,19-01-2024,2024,1,19,Sana Sule,North,Lucknow,Books,Biography,Biography Ipsa,3,9419,28257,15%,4238.55,UPI
12932,19-01-2024,2024,1,19,Eshani Anand,North,Lucknow,Books,Non-Fiction,Non-Fiction A,1,7783,7783,5%,389.15,Debit Card
13995,19-01-2024,2024,1,19,Anahi Choudhry,North,Jaipur,Kitchen,Mixer Grinder,Mixer Grinder Nisi,3,7888,23664,15%,3549.6,Net Banking
14016,19-01-2024,2024,1,19,Eva Bhandari,West,Pune,Beauty,Face Cream,Face Cream Autem,3,2577,7731,5%,386.55,UPI
14432,19-01-2024,2024,1,19,Tejas Amble,South,Bangalore,Clothing,Kids Wear,Kids Wear Error,1,9956,9956,5%,497.8,COD
14606,19-01-2024,2024,1,19,Jivika Agrawal,West,Pune,Sports,Tennis Racket,Tennis Racket Excepturi,3,7934,23802,15%,3570.3,Debit Card
14624,19-01-2024,2024,1,19,Sana Ram,West,Goa,Kitchen,Microwave,Microwave Quaerat,5,8382,41910,20%,8382,Credit Card
10502,20-01-2024,2024,1,20,Taimur Krishnamurthy,South,Thiruvananthapuram,Clothing,Shoes,Shoes Totam,2,8129,16258,10%,1625.8,COD
11305,20-01-2024,2024,1,20,Kavya Sangha,North,Chandigarh,Furniture,Cabinet,Cabinet Quo,2,8941,17882,10%,1788.2,UPI
11788,20-01-2024,2024,1,20,Lavanya Bora,West,Ahmedabad,Furniture,Sofa,Sofa Asperiores,5,7049,35245,20%,7049,Net Banking
12736,20-01-2024,2024,1,20,Samiha Hegde,East,Guwahati,Home Decor,Clock,Clock Voluptatem,4,7993,31972,20%,6394.4,UPI
12917,20-01-2024,2024,1,20,Kiara Chatterjee,East,Kolkata,Books,Textbook,Textbook Maiores,1,5587,5587,5%,279.35,Credit Card
13868,20-01-2024,2024,1,20,Fateh Bahl,North,Chandigarh,Beauty,Perfume,Perfume Alias,4,7842,31368,20%,6273.6,COD
14620,20-01-2024,2024,1,20,Veer D’Alia,North,Amritsar,Furniture,Chair,Chair Adipisci,3,8395,25185,15%,3777.75,Debit Card
11226,21-01-2024,2024,1,21,Rohan Karnik,East,Ranchi,Home Decor,Vase,Vase Enim,5,7755,38775,20%,7755,Net Banking
12036,21-01-2024,2024,1,21,Pari Sundaram,South,Thiruvananthapuram,Books,Biography,Biography A,5,9316,46580,20%,9316,UPI
12171,21-01-2024,2024,1,21,Damini Vala,East,Kolkata,Books,Fiction,Fiction Nostrum,3,8863,26589,15%,3988.35,Debit Card
12367,21-01-2024,2024,1,21,Armaan Taneja,North,Jaipur,Furniture,Bed,Bed Incidunt,3,8808,26424,15%,3963.6,Credit Card
13764,21-01-2024,2024,1,21,Kabir Sarma,North,Delhi,Electronics,Laptop,Laptop Fuga,2,9083,18166,10%,1816.6,Debit Card
14166,21-01-2024,2024,1,21,Ehsaan Date,North,Lucknow,Beauty,Perfume,Perfume Dignissimos,1,7746,7746,5%,387.3,Debit Card
14251,21-01-2024,2024,1,21,Ryan Bedi,West,Mumbai,Beauty,Lipstick,Lipstick Voluptates,1,7346,7346,5%,367.3,Credit Card
14527,21-01-2024,2024,1,21,Aarna Doshi,West,Ahmedabad,Toys,Doll,Doll Accusamus,2,8855,17710,10%,1771,COD
10198,22-01-2024,2024,1,22,Tarini Talwar,West,Ahmedabad,Clothing,Accessories,Accessories Aspernatur,3,7295,21885,15%,3282.75,Net Banking
10321,22-01-2024,2024,1,22,Veer Sood,North,Chandigarh,Furniture,Chair,Chair Odit,3,8996,26988,15%,4048.2,Debit Card
10354,22-01-2024,2024,1,22,Shanaya Roy,West,Pune,Kitchen,Microwave,Microwave Quos,1,7243,7243,5%,362.15,COD
10558,22-01-2024,2024,1,22,Shayak Mane,South,Hyderabad,Furniture,Chair,Chair Impedit,5,8956,44780,20%,8956,Credit Card
10590,22-01-2024,2024,1,22,Amira Ganesh,East,Patna,Books,Comics,Comics Unde,1,8338,8338,5%,416.9,UPI
10613,22-01-2024,2024,1,22,Riya Magar,East,Guwahati,Kitchen,Juicer,Juicer Minima,1,7591,7591,5%,379.55,UPI
11215,22-01-2024,2024,1,22,Alisha Tata,West,Goa,Books,Comics,Comics Illo,4,8253,33012,20%,6602.4,Debit Card
11981,22-01-2024,2024,1,22,Riya Acharya,North,Delhi,Books,Biography,Biography Modi,5,9230,46150,20%,9230,COD
14468,22-01-2024,2024,1,22,Indranil Guha,North,Delhi,Beauty,Face Cream,Face Cream Unde,2,7216,14432,10%,1443.2,Debit Card
14682,22-01-2024,2024,1,22,Aayush Dutt,East,Bhubaneswar,Sports,Football,Football Fugit,3,9570,28710,15%,4306.5,Credit Card
10134,23-01-2024,2024,1,23,Shanaya Kala,North,Chandigarh,Furniture,Sofa,Sofa Nulla,1,7548,7548,5%,377.4,UPI
11130,23-01-2024,2024,1,23,Ira Babu,South,Coimbatore,Electronics,Smartwatch,Smartwatch Animi,2,8253,16506,10%,1650.6,Debit Card
12038,23-01-2024,2024,1,23,Purab Yohannan,North,Lucknow,Groceries,Sugar,Sugar Ipsam,3,7199,21597,15%,3239.55,Credit Card
12211,23-01-2024,2024,1,23,Myra Rout,East,Kolkata,Sports,Dumbbells,Dumbbells Quas,1,7349,7349,5%,367.45,COD
12214,23-01-2024,2024,1,23,Tanya Gala,East,Guwahati,Groceries,Spices,Spices Alias,4,7801,31204,20%,6240.8,UPI
12553,23-01-2024,2024,1,23,Divyansh Sarraf,West,Mumbai,Electronics,Laptop,Laptop Consequatur,3,7237,21711,15%,3256.65,Debit Card
13186,23-01-2024,2024,1,23,Hridaan Shan,East,Guwahati,Electronics,Smartwatch,Smartwatch Assumenda,5,9155,45775,20%,9155,COD
13900,23-01-2024,2024,1,23,Rania Jhaveri,East,Guwahati,Sports,Football,Football Harum,4,7920,31680,20%,6336,COD
14746,23-01-2024,2024,1,23,Ela Chad,East,Patna,Home Decor,Vase,Vase Esse,5,8225,41125,20%,8225,Debit Card
14769,23-01-2024,2024,1,23,Emir Kanda,West,Goa,Home Decor,Cushion,Cushion Nesciunt,2,7407,14814,10%,1481.4,Credit Card
14868,23-01-2024,2024,1,23,Lakshit Rajagopalan,North,Chandigarh,Clothing,Kids Wear,Kids Wear Nesciunt,1,7273,7273,5%,363.65,UPI
10637,24-01-2024,2024,1,24,Kiara Keer,West,Surat,Clothing,Shoes,Shoes Voluptas,2,7555,15110,10%,1511,Credit Card
11866,24-01-2024,2024,1,24,Krish Deshpande,West,Mumbai,Clothing,Men's Wear,Men's Wear Cumque,1,9700,9700,5%,485,Net Banking
12154,24-01-2024,2024,1,24,Shalv Dutta,South,Coimbatore,Clothing,Women's Wear,Women's Wear Odio,3,4458,13374,10%,1337.4,COD
12743,24-01-2024,2024,1,24,Vedika Jain,North,Jaipur,Sports,Football,Football Ea,5,8508,42540,20%,8508,Credit Card
12883,24-01-2024,2024,1,24,Yashvi Lad,East,Ranchi,Electronics,Smartwatch,Smartwatch Quasi,1,9174,9174,5%,458.7,UPI
14600,24-01-2024,2024,1,24,Dhanuk Yadav,North,Amritsar,Kitchen,Refrigerator,Refrigerator Velit,2,8368,16736,10%,1673.6,Debit Card
11941,25-01-2024,2024,1,25,Vanya Bhavsar,South,Bangalore,Electronics,Headphones,Headphones Et,4,7544,30176,20%,6035.2,Debit Card
13518,25-01-2024,2024,1,25,Seher Chopra,East,Guwahati,Home Decor,Lamp,Lamp Tempore,2,7279,14558,10%,1455.8,Credit Card
14899,25-01-2024,2024,1,25,Vivaan Varma,South,Chennai,Kitchen,Juicer,Juicer Dignissimos,5,9810,49050,20%,9810,UPI
10985,26-01-2024,2024,1,26,Ira Andra,West,Mumbai,Groceries,Wheat,Wheat Sit,4,9249,36996,20%,7399.2,UPI
11653,26-01-2024,2024,1,26,Nayantara Sunder,West,Surat,Books,Comics,Comics Impedit,1,7346,7346,5%,367.3,COD
12094,26-01-2024,2024,1,26,Lakshit Kuruvilla,East,Patna,Electronics,Mobile,Mobile Repudiandae,4,7482,29928,15%,4489.2,UPI
12459,26-01-2024,2024,1,26,Kiara Krishnamurthy,East,Kolkata,Kitchen,Mixer Grinder,Mixer Grinder Quidem,4,7342,29368,15%,4405.2,Credit Card
13478,26-01-2024,2024,1,26,Heer Bala,North,Lucknow,Books,Textbook,Textbook Ex,2,7954,15908,10%,1590.8,Debit Card
13777,26-01-2024,2024,1,26,Seher Bhardwaj,North,Amritsar,Home Decor,Vase,Vase Doloremque,2,9197,18394,10%,1839.4,UPI
14545,26-01-2024,2024,1,26,Aaryahi Lata,West,Surat,Books,Biography,Biography Dignissimos,1,9011,9011,5%,450.55,Credit Card
14591,26-01-2024,2024,1,26,Yuvraj  Roy,East,Ranchi,Groceries,Sugar,Sugar Doloribus,3,8380,25140,15%,3771,COD
